Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.44     0.00        1     0.00     0.00  display_number
  0.00      2.44     0.00        1     0.00     0.01  display_on_file
  0.00      2.44     0.00        1     0.00     0.00  get_global_env
  0.00      2.44     0.00        1     0.00     0.01  gr_init
  0.00      2.44     0.00        1     0.00     0.00  init_primitive_procedures
  0.00      2.44     0.00        1     0.00     0.00  is_none
  0.00      2.44     0.00        1     0.00     0.00  mk_command_line_list
  0.00      2.44     0.00        1     0.00     0.00  mk_port
  0.00      2.44     0.00        1     0.00     0.00  open_input_file
  0.00      2.44     0.00        1     0.00     0.00  peek_char_from_file
  0.00      2.44     0.00        1     0.00     0.00  peek_char_from_port
  0.00      2.44     0.00        1     0.00     2.25  populate_initial_environment
  0.00      2.44     0.00        1     0.00     0.09  script_mode

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2024 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.41% of 2.44 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     96.9    0.00    2.37                 main [1]
                0.00    2.25       1/1           populate_initial_environment [3]
                0.00    0.09       1/1           script_mode [23]
                0.01    0.00       1/1           init_symbol_table [53]
                0.00    0.01       1/1           gr_init [65]
                0.00    0.00       1/1           init_primitive_procedures [92]
                0.00    0.00       1/65          define_variable [107]
                0.00    0.00       1/4778        mk_symbol [68]
                0.00    0.00       1/1           get_global_env [248]
-----------------------------------------------
[2]     95.0    0.23    2.09      52+8910078 <cycle 1 as a whole> [2]
                0.22    1.74      58             hairy_eval <cycle 1> [4]
                0.01    0.35 8910002             apply_primitive_procedure <cycle 1> [7]
                0.00    0.00      58             eval <cycle 1> [89]
                0.00    0.00       6             data_eval <cycle 1> [104]
                0.00    0.00       6             _data_eval_procedure_ <cycle 1> [198]
-----------------------------------------------
                0.00    2.25       1/1           main [1]
[3]     92.3    0.00    2.25       1         populate_initial_environment [3]
                0.22    2.01      50/52          eval <cycle 1> [89]
                0.01    0.00      50/53          stack_init [52]
                0.00    0.01      50/58          xlat <cycle 4> [66]
                0.00    0.00      51/54          read_from_file [86]
                0.00    0.00     102/129         is_eof_object [264]
-----------------------------------------------
                                  58             eval <cycle 1> [89]
[4]     80.5    0.22    1.74      58         hairy_eval <cycle 1> [4]
                0.02    0.37 11602628/11602628     lookup_unbound_var [5]
                0.06    0.26 11602671/11602963     reverse [9]
                0.31    0.00 110959112/110959112     restore [10]
                0.21    0.00 110959112/110959112     save [13]
                0.04    0.08 20512645/38341747     cons [14]
                0.04    0.04 20512649/20512649     last_operand [25]
                0.06    0.00 11602655/11602655     no_operands [28]
                0.03    0.03 20512649/20512649     first_operand [30]
                0.03    0.02 11602651/11602651     operator [36]
                0.01    0.02 8909994/8909994     rest_operands [40]
                0.00    0.02 11602651/11602651     operands [44]
                0.02    0.00 2692677/2692726     first_exp [45]
                0.01    0.01 2692653/2692653     procedure_environment [51]
                0.00    0.01 2692661/8078166     length [37]
                0.01    0.00 4870975/4871003     is_true [59]
                0.01    0.00 2692653/2692653     procedure_parameters [62]
                0.00    0.01 2692653/2692653     procedure_body [63]
                0.00    0.01 2692677/2692726     is_last_exp [67]
                0.00    0.01 2692653/2692653     check_procedure_arg_len [79]
                0.00    0.00 2692661/2692661     extend_environment [84]
                0.00    0.00 11602887/37501468     nil [61]
                0.00    0.00      63/65          define_variable [107]
                0.00    0.00      10/10          find_matching_match_clause [115]
                0.00    0.00      76/76          mk_procedure [158]
                0.00    0.00      16/16          rest_exps [209]
                0.00    0.00       4/8           append [206]
                0.00    0.00       4/4           is_list [233]
                0.00    0.00       2/2           set_variable_value [245]
                0.00    0.00       4/62          mk_none [205]
                0.00    0.00 7563762/7563762     lookup_variable_value [256]
                             8910002             apply_primitive_procedure <cycle 1> [7]
-----------------------------------------------
                0.02    0.37 11602628/11602628     hairy_eval <cycle 1> [4]
[5]     15.9    0.02    0.37 11602628         lookup_unbound_var [5]
                0.03    0.34 11602628/11602628     global_env_lookup_var [6]
-----------------------------------------------
                0.03    0.34 11602628/11602628     lookup_unbound_var [5]
[6]     15.1    0.03    0.34 11602628         global_env_lookup_var [6]
                0.02    0.32 11602628/11609400     hash_table_ref [8]
-----------------------------------------------
                             8910002             hairy_eval <cycle 1> [4]
[7]     14.4    0.01    0.35 8910002         apply_primitive_procedure <cycle 1> [7]
                0.01    0.13 4870909/4870909     _equal_procedure_ [15]
                0.01    0.10 2692567/2692567     _minus_procedure_ [21]
                0.01    0.05 1346268/1346268     _plus_procedure_ [32]
                0.00    0.03       4/4           _caar_procedure_ [42]
                0.01    0.00      31/31          _mul_procedure_ [69]
                0.00    0.01       1/1           _display_procedure_ [74]
                0.00    0.00       2/2           _string_append_procedure_ [105]
                0.00    0.00       2/2           _string_to_symbol_procedure_ [141]
                0.00    0.00     110/110         _cons_procedure_ [146]
                0.00    0.00      32/32          _less_procedure_ [155]
                0.00    0.00      34/34          _IS_NIL_procedure_ [167]
                0.00    0.00       8/8           _reverse_procedure_ [172]
                0.00    0.00      14/14          _car_procedure_ [187]
                0.00    0.00       8/8           _cdr_procedure_ [195]
                0.00    0.00       4/4           _cdar_procedure_ [202]
                0.00    0.00       2/2           _symbol_to_string_procedure_ [220]
                                   6             _data_eval_procedure_ <cycle 1> [198]
-----------------------------------------------
                0.00    0.00    1994/11609400     hash_table_set [54]
                0.00    0.00    4778/11609400     mk_symbol [68]
                0.02    0.32 11602628/11609400     global_env_lookup_var [6]
[8]     14.0    0.02    0.32 11609400         hash_table_ref [8]
                0.05    0.08 11609400/11609400     _find [19]
                0.04    0.08 11609400/11611402     vector_ref [20]
                0.03    0.04 11609400/11613396     get_index [27]
-----------------------------------------------
                0.00    0.00       1/11602963     mk_command_line_list [106]
                0.00    0.00       8/11602963     _reverse_procedure_ [172]
                0.00    0.00      46/11602963     _unzip_ [144]
                0.00    0.00      85/11602963     scan_internal_defs [140]
                0.00    0.00     152/11602963     mk_list [129]
                0.06    0.26 11602671/11602963     hairy_eval <cycle 1> [4]
[9]     13.0    0.06    0.26 11602963         reverse [9]
                0.07    0.16 8910049/8910049     _reverse_ [12]
                0.02    0.00 11602881/112515609     cdr [11]
                0.00    0.00 8910049/37501468     nil [61]
-----------------------------------------------
                0.31    0.00 110959112/110959112     hairy_eval <cycle 1> [4]
[10]    12.7    0.31    0.00 110959112         restore [10]
-----------------------------------------------
                0.00    0.00       2/112515609     or_to_if <cycle 4> [242]
                0.00    0.00       2/112515609     xlat <cycle 4> [66]
                0.00    0.00       2/112515609     sexp_begin_actions [241]
                0.00    0.00       2/112515609     sexp_match_key [238]
                0.00    0.00       2/112515609     get_vars_from_match [131]
                0.00    0.00       3/112515609     named_let_to_letrec <cycle 4> [125]
                0.00    0.00       4/112515609     letrec_to_let <cycle 4> [96]
                0.00    0.00       4/112515609     case_clause_exp [235]
                0.00    0.00       4/112515609     is_last_clause [236]
                0.00    0.00       4/112515609     inner_construct_case_clauses [121]
                0.00    0.00       4/112515609     cdar [230]
                0.00    0.00       4/112515609     is_list [233]
                0.00    0.00       4/112515609     sexp_match_clauses [234]
                0.00    0.00       4/112515609     sexp_apply_procedure [231]
                0.00    0.00       5/112515609     mk_unassigned_vars [97]
                0.00    0.00       5/112515609     append [206]
                0.00    0.00       6/112515609     caddr [224]
                0.00    0.00       6/112515609     inner_or_to_if <cycle 4> [191]
                0.00    0.00       6/112515609     match_clauses_to_name_free <cycle 2> [130]
                0.00    0.00       6/112515609     _data_eval_procedure_ <cycle 1> [198]
                0.00    0.00       7/112515609     improper_list_length [228]
                0.00    0.00       8/112515609     sexp_apply_arguments [225]
                0.00    0.00       8/112515609     _cdr_procedure_ [195]
