Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.31     0.00        4     0.00     0.00  sexp_apply_procedure
  0.00     15.31     0.00        4     0.00     0.00  string_append
  0.00     15.31     0.00        3     0.00     0.00  caddr
  0.00     15.31     0.00        3     0.00     0.00  cdddr
  0.00     15.31     0.00        3     0.00     0.00  get_vars_from_match
  0.00     15.31     0.00        3     0.00     0.00  named_let_to_letrec
  0.00     15.31     0.00        3     0.00     0.00  read_from_port
  0.00     15.31     0.00        2     0.00     0.00  _string_append_procedure_
  0.00     15.31     0.00        2     0.00     0.01  _string_to_symbol_procedure_
  0.00     15.31     0.00        2     0.00     0.01  _symbol_to_string_procedure_
  0.00     15.31     0.00        2     0.00     0.01  decimal_sufix
  0.00     15.31     0.00        2     0.00     0.00  inner_or_to_if
  0.00     15.31     0.00        2     0.00     0.00  match_clauses_to_name_free
  0.00     15.31     0.00        2     0.00     0.00  mk_eof
  0.00     15.31     0.00        2     0.00     0.00  mk_match
  0.00     15.31     0.00        2     0.00     0.00  mk_real_from_double
  0.00     15.31     0.00        2     0.00     0.00  or_to_if
  0.00     15.31     0.00        2     0.00     0.00  quasiquote_to_list
  0.00     15.31     0.00        2     0.00     0.00  set_var
  0.00     15.31     0.00        2     0.00     0.00  set_variable_value
  0.00     15.31     0.00        2     0.00     0.00  sexp_begin_actions
  0.00     15.31     0.00        2     0.00     0.00  sexp_match_clauses
  0.00     15.31     0.00        2     0.00     0.00  sexp_match_key
  0.00     15.31     0.00        1     0.00     0.00  _display_procedure_
  0.00     15.31     0.00        1     0.00     0.00  display
  0.00     15.31     0.00        1     0.00     0.00  display_inside_list
  0.00     15.31     0.00        1     0.00     0.00  display_number
  0.00     15.31     0.00        1     0.00     0.00  display_on_file
  0.00     15.31     0.00        1     0.00     0.00  get_global_env
  0.00     15.31     0.00        1     0.00     0.02  gr_init
  0.00     15.31     0.00        1     0.00     0.01  init_primitive_procedures
  0.00     15.31     0.00        1     0.00     0.00  init_symbol_table
  0.00     15.31     0.00        1     0.00     0.00  is_none
  0.00     15.31     0.00        1     0.00     0.00  mk_command_line_list
  0.00     15.31     0.00        1     0.00     0.00  mk_port
  0.00     15.31     0.00        1     0.00     0.00  open_input_file
  0.00     15.31     0.00        1     0.00     0.00  peek_char_from_file
  0.00     15.31     0.00        1     0.00     0.00  peek_char_from_port
  0.00     15.31     0.00        1     0.00    14.55  populate_initial_environment
  0.00     15.31     0.00        1     0.00     0.59  script_mode

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
